ORConf 2019 Schedule,,,,,,,,
,,,,,,,,
Duration,Start,End,Presenter,Affiliation,Title,Category,Abstract,Confirmed
0:20:00,2019-09-27 16:20,2019-09-27 16:40,Pepijn de Vos,GHDL,Open Source Formal Verification in VHDL,fri,"          <p>
            Due to recent work by Tristan Gingold and some contributions from Pepijn de Vos, it is
            now possible to use GHDL for synthesis with Yosys. Furthermore, improvements in support
            for PSL and VHDL-2008 make it possible to
            <a href=""http://pepijndevos.nl/2019/08/15/open-source-formal-verification-in-vhdl.html""
               target=""_blank"">use GHDL with SymbiYosys for formal
            verification</a>. This talk will give an overview of the state of open source VHDL
            synthesis, and introduce formal verification using these tools.
          </p>
          <h6>Presenter: <a href=""https://www.twitter.com/pepijndevos"" target=""_blank"">Pepijn de Vos</a></h6>
          <p>
            Pepijn is a software developer and electrical engineer who got in touch with FPGA
            development during his electrical engineering bachelor at the University of
            Twente. Pepijn prefers vim and makefiles over clunky commercial EDA tools, and is trying
            to make his future career more pleasant by contributing to open source tools.
          </p>
",
0:10:00,2019-09-27 16:40,2019-09-27 16:50,,,Break,fri,,
0:20:00,2019-09-27 16:50,2019-09-27 17:10,Florent Manni,VHDLTOOL,Continuous VHDL inspection with opensource software,fri,"              <p>
                <a href=""https://github.com/VHDLTool"" target=""_blank"">VHDLTool</a> is an opensource
                project founded by CNES to help people writing cleaner and safer VHDL code.


                It is based on several tools like:
                <ul>
                  <li>VHDL Handbook toolchain: which gathers customizable VHDL good practices
                    written in XML and a toolchain to convert it to PDF</li>
                  <li>Zamiacad: which is a modular and extensible platform for advanced hardware design, analysis,
                    and research.</li>
                  <li>Rulechecker: which use Zamiacad to parser handbook VHDL rules</li>
                  <li>Sonarqube-rulechecker: which is a plugin for Sonarqube which is a GUI for debt identification and
                    management. Sonarqube will display the errors based on VHDL handbook and
                    evaluated by Zamiacad-Rulechecker. It will display also code coverage coming
                    from GCOV. </li>
                </ul>
          </p>
          <h6>Presenter: Florent Manni</h6>
              <p>
                Florent is a SOC designer at the French Space agency (CNES).
              </p>
",
0:20:00,2019-09-27 17:10,2019-09-27 17:30,Oleg Nenashev,LibreCores,What's new in LibreCores CI?,fri,"            <a name=""librecores"" href=""#librecores""></a>What's new in LibreCores CI?</h4>
              <p>
                There were significant changes in
                <a href=""https://www.librecores.org/static/librecores-ci"" target=""_blank"">LibreCores
                  CI</a> over the past year. Let's take a
                look at what's new available to hardware projects: Docker images for EDA tools, new
                Jenkins server bundles, and SaaS for projects. And how was Google Summer of Code in
                LibreCores CI this year?
          </p>
          <h6>Presenter: <a href=""https://twitter.com/oleg_nenashev"" target=""_blank"">Oleg Nenashev</a></h6>
              <p>
                Oleg is an R&amp;D and Automation engineer with Hardware/Embedded background. He
                contributes to the LibreCores project and works on the continuous integration
                service there. He is also a Jenkins core maintainer and a leader of Hardware/EDA SIG
                there. Nowadays Oleg lives in Switzerland and works for CloudBees.
          </p>
",
0:10:00,2019-09-27 17:30,2019-09-27 17:40,,,Break,fri,,
0:30:00,2019-09-27 17:40,2019-09-27 18:10,Luis Eduardo Rueda Guerrero,"Symbiotic EDA, Universidad Industrial de Santander","ASICone, from Verilog to GDSII with open source tools only, Status and Challenges.",fri,"            <p>
              Last year, Symbiotic EDA announced ASICone, an experiment to tape-out an entire ASIC
              with a RISC-V 32bit processor, using only open source tools on X-Fab 180nm COMS
              3.3V. As expected, ASICone had been a very difficult project. The team around
              Prof. Elkim Roa (OnChip) believes that they have found some of the most important gaps
              between a typical tape-out (with commercial EDA tools) and a tape-out with open-source
              tools. Taking this into account, in this talk, team member Luis Rueda will present the
              status of ASICone: what have been done and achieved so far, what have been the
              learning's, what is needed to close the feature gaps in the current available open
              source ASIC toolchain and what should be the next steps.
          </p>
          <h6>Presenter: Luis Eduardo Rueda Guerrero</h6>
          <p>
            Luis E. Rueda G. is a PhD student and professor at Universidad Industrial de Santander
            (Colombia). His current research focuses in analog accelerators for machine learning
            system-on-edge applications. Luis did his master of science in TU Delft (the
            Netherlands), and in the past, he worked in projects for NXP (the Netherlands), IMEC
            (Belgium) and Freescale (Brazil), mainly in mixed-signal and analog IC design. Luis is
            also part of the OnChip group, responsible for Onchip-V, the world's first open source
            RISC-V-based 32-bit microcontroller (2016), where he was in charge of the analog IP
            blocks design.
          </p>
",
0:20:00,2019-09-27 18:10,2019-09-27 18:30,,,Au revoir,fri,,
Saturday Sept 28,,,,,,,,
0:30:00,2019-09-28 09:00,2019-09-28 09:30,,,"Room open, coffee",sat,,yes
0:20:00,2019-09-28 09:30,2019-09-28 09:50,Simon Cook,Embecosm,A Unified Debug Server for Deeply Embedded Systems and GDB/LLDB,sat,"          <p>
            When debugging C applications, whilst the debugger handles high level operations, it
            abstracts and offloads lower level operations to a debug server which is responsible for
            controlling the process or hardware. The debug server is capable of very simple
            operations, such as reading/writing registers and memory, starting and single-stepping
            the processor and reporting back when the processor halts. The two communicate with each
            other using a very simple text based serial protocol.
          </p>
          <p>
            GDB has long been served by a number of debug server options, for Linux class systems
            the gdbserver application provides this functionality, and for embedded systems the
            gdbserver built into OpenOCD is commonly used, but support for some targets (such as RTL
            simulation) we can do better. In this talk, we present a new open source debug server
            that supports these usecases. It is capable of controlling the simplest hardware,
            through to complex multicore heterogenous architectures. I present the aims of this
            project and what we want to achieve as this progresses.
          </p>
          <h6>Presenter: <a href=""https://twitter.com/simonpcook"" target=""_blank"">Simon Cook</a></h6>
          <p>
            Simon is a tool chain engineer at <a href=""https://www.embecosm.com""
                                                 target=""_blank"">Embecosm</a>, at which he focuses on the LLVM compiler and
            tools for debugging embedded applications.
          </p>
",yes
0:20:00,2019-09-28 09:50,2019-09-28 10:10,Rick O'Connor,OpenHW Group,OpenHW Group Announces CORE-V Family of Open-Source RISC-V Cores,sat,"This talk will detail the creation of the OpenHW Group, a not-for-profit, global organization driven by its members and individual contributors where hardware and software designers collaborate in the development of open-source cores, related IP, tools and software. The talk will also cover the launch of the CORE-V Family of open-source RISC-V cores.

Presenter: Rick O'Connor
Rick O'Connor is Founder and serves as President & CEO of the OpenHW Group a not-for-profit, global organization driven by its members and individual contributors where hardware and software designers collaborate on open source cores, related IP, tools and software projects. The OpenHW Group Core-V Family is a series of RISC-V based open-source cores with associated processor subsystem IP, tools and software for electronic system designers. ",yes
00:20:00,2019-09-28 10:10,2019-09-28 10:30,,,Break,sat,,
00:20:00,2019-09-28 10:30,2019-09-28 10:50,Philipp Wagner,FOSSi Foundation,News from cocotb land,sat,"          <p>
            <a href=""https://www.cocotb.org"" target=""_blank"">cocotb</a> is a COroutine
            based COsimulation TestBench environment for verifying
            VHDL/Verilog RTL using Python. It is an alternative to UVM and other verification
            approaches, and has been gaining an increasing number of followers over the last years.
          </p>
          <p>
            In 2019, we already released cocotb
            <a href=""https://lists.librecores.org/pipermail/cocotb/2019-January/000053.html""
               target=""_blank"">1.1</a>
            and <a href=""https://lists.librecores.org/pipermail/cocotb/2019-July/000065.html""
                   target=""_blank"">1.2</a>, and more releases are upcoming. This
            talk will show what's new and exciting in cocotb land, and outline areas where we're
            looking for more contributors!
          </p>
          <h6>Presenter: <a href=""https://philipp-wagner.com"" target=""_blank"">Philipp Wagner</a></h6>
          <p>
            Philipp is an engineer at lowRISC doing Open Source hardware design, and a director at
            FOSSi Foundation. He has been a long-time open source enthusiast, working on software,
            hardware, automation, and outreach.
          </p>
",yes
0:20:00,2019-09-28 10:50,2019-09-28 11:10,Michael Gielda,Antmicro / Renode,"Renode - open source simulation for rapid development of complex systems, coming to a cloud near you",sat,"Renode has been available as a permissively licensed desktop simulation framework for (unmodified) software development and HW/SW co-development in complex systems - including multi-node, heterogeneous multi-core and multi-architecture ones - for some years now, gaining momentum especially with the advent of RISC-V and open ISAs in general.

Besides a host of awesome recent developments in version 1.8 such as physical FPGA and Verilator co-simulation, enhanced multi-core debug, support for many new RISC-V platforms, Renode has also some big changes to announce.

The collaborative nature of virtual development - with features such as state saving, event storing/replaying, synchronous debug of multi-node environments and simply being able to share your work with colleagues using a bunch of files - is best experienced in a cloud environment, where resources can be truly shared and easily scaled. In this talk, we’re announcing the Renode Cloud Environment, an open source design, testing and CI system that builds on and integrates with Renode.

Presenter: Michael Gielda

Michael is VP Business Development at Antmicro and one of the creators of Renode. With a background in both computer science and the humanities, he is an ardent believer in using open source to advance entire industries. Michael is vice-chair of Marketing in the RISC-V Foundation and Chair of Marketing and Outreach in CHIPS Alliance. ",
0:20:00,2019-09-28 11:10,2019-09-28 11:30,"David Patterson, Jeremy Bennett (speaker), Palmer Dabbelt, Cesare Garlati",Embecosm,Embench™ 0.5: A Free Benchmark Suite for  IoT from an Academic-Industry Cooperative,sat,"          <p>
            In June we announced <a href=""https://embench.org/"" target=""_blank"">Embench</a>™ (for
            Embedded Benchmark), a benchmark for embedded IoT devices created by experts from both
            academia and industry. We first looked at past benchmark efforts to try to incorporate
            their good ideas and to avoid their mistakes, and drew the following seven lessons:
            <ol>
              <li>Embench must be free (no cost).</li>
              <li>Embench must be easy to port and run.</li>
              <li>Embench must be a suite of real programs.  </li>
              <li>Embench must have a supporting organization that maintains its relevance over time.  </li>
              <li>Embench must report a single summarizing performance score.  </li>
              <li>Embench should report geometric mean and standard deviation as the summarizing score. </li>
              <li>Embench must involve both academia and industry.</li>
            </ol>
          </p>
          <p>
            Our plan is to follow “Agile Benchmark Development” by bringing out an initial 0.5
            version for evaluation and feedback,  with a 1.0 version to be released after a few
            iterations of preliminary Embench versions (0.5, 0.6, 0.7,...) to debug both the suite
            and the ground rules. We initially aim to evaluate microcontrollers that support ≤64KiB
            of code and read only data—which would typically be stored in Flash or ROM—and ≤16KiB of
            data.
          </p>
          <p>
            In this talk we describe Embench 0.5. Unlike the popular Dhrystone and CoreMark
            benchmarks that are single synthetic programs, Embench 0.5 suite has 20 real
            programs. They do little or no floating point computation, but some are branch
            intensive, some memory intensive, and some integer compute intensive. Like SPEC, the
            single performance number that people will promote is the geometric mean of performance
            relative to a reference platform of the 20 programs plus the geometric standard
            deviation to indicate the significance of differences between processors. Novel features
            of Embench include reporting code size as well as program performance and to measure
            interrupt latency and context switching. These novel features play an important role in
            embedded computing but have not yet appeared in embedded benchmarks. The Free and Open
            Source Silicon (FOSSi) Foundation organization is the official sponsor of Embench. The
            Embench organizing committee now has more than 10 volunteers to evolve the benchmark.
          </p>
          <p>
            In addition to announcing Embench 0.5, we will demonstrate its value by contrasting its
            performance evaluation of several embedded systems to Dhrystone and CoreMark.
          </p>
          <p>
            Our hope is that henceforth is that publications of performance for embedded computers
            will include Embench along with Dhrystone and CoreMark, and that Embench will eventually
            retire these much older, single, synthetic benchmarks to the dustbin of history.
          </p>
          <h6>Presenter: <a href=""https://www.twitter.com/jeremypbennett"" target=""_blank"">Jeremy Bennett</a></h6>
          <p>
            Jeremy Bennett is Vice-chair and convener of the Embench working group, which is
            developing a new set of benchmarks for Embedded systems.
          </p>
",yes
00:20:00,2019-09-28 11:30,2019-09-28 11:50,,,Break,sat,,
0:20:00,2019-09-28 11:50,2019-09-28 12:10,"Ismael Pérez, Carlos Alberto, Alfredo Sáez",TerosHDL,TerosHDL: an open source IDE for FPGA developers.,sat,"          <p>
            <a href=""https://github.com/TerosTechnology/terosHDL"" target=""_blank"">TerosHDL</a>
            (<a href=""https://twitter.com/@terostech"" target=""_blank"">Twitter</a>) is an open source project
            focused in the development and integration of EDA tools (ghdl, VUnit...) in an IDE. 
            It is currently based on Atom, but in the future it will be extended to other code editors such as Visual Studio Code.
          </p>
          <p>
          The goal of TerosHDL is bringing all facilities of software code tools to the HDL development: linter, code completion,
          simulators management, automate documentation, snippets. <a href=""https://youtu.be/tgr1KGIitIQ"" target=""_blank"">https://youtu.be/tgr1KGIitIQ</a>.
          </p>
          <p>
            We will introduce TerosHDL 2.0 with multiple features. In the new release the architecture has been completely
            rebuild in order to support more tools, reduce some dependencies and clarify the code. Some of the new features include
            Verilog support, additional simulators: Verilator, Icarus, additional tools like cocotb, Edalize, a linter and more beautiful documentation.
          </p>

          <h6>Presenters: Ismael Pérez, Carlos Alberto, Alfredo Sáez</h6>
          <p>
            <a href=""https://github.com/smgl9"" target=""_blank"">Ismael Perez</a> is an FPGA engineer who usually use open source tools at work.
            When the homemade automation scripts started to be a just a bit serious he started TerosHDL project with some coworkers to ease
            their development task and integrate different tools.
          </p>

           <p>
             <a href=""https://github.com/qarlosalberto"" target=""_blank"">Carlos Alberto</a> is passionate about open source. He works in high
             performance and low latency systems with FPGA. He is interested in implementing software quality methodologies in HDL languages:
             code coverage, continuous integration... He sais that hw can be effective, scalable and reliable like sw!
           </p>
           <p>
             <a href=""https://github.com/asaezper"" target=""_blank"">Alfredo Sáez</a> is a software engineer who has worked from backend to
             frontend. He is a truly enthusiast of development tools that help us to code better. And when he discovered that HDL mates don't
             have so many facilities as SW developers, he decided to join TerosHDL team!
           </p>
",
0:20:00,2019-09-28 12:10,2019-09-28 12:30,Zvonimir Bandic,Western Digital Corporation,OmniXtend cache coherence protocol for datacenter CPUs,sat,"OmniXtend cache coherence protocol is open source protocol based on mapping of TileLink cache coherence messages on the top of standard Ethernet 802.3 L1 frames. The protocol takes advantage of availability of programmable Ethernet switches - using P4 programming language.

We have recently published the specification of OmniXtend, and open-sourced P4 code for the programmable Barefoot Networks switch. We will present the design philosophy of OmniXtend, present the latency measurement in the implemented system and show of first 8-core RISC-V cluster consisting of two RISC-V 4-core nodes, connected via OmniXtend switch.

Presenter: Zvonimir Bandic

Zvonimir Z. Bandić is the Research Staff Member and Senior Director of Next Generation Platform Technologies Department in a Western Digital Corporation in San Jose, California. He received his BS in electrical engineering in 1994 from the University of Belgrade, Yugoslavia, and his MS (1995) and PhD (1999) in applied physics from Caltech, Pasadena, in the field of novel electronic devices based on wide bandgap semiconductors.

He is currently focusing on emerging Non-Volatile Memories (PCM, ReRAM, MRAM) applications for data center distributed computing, including RISC-V based CPU technologies , in-memory compute, RDMA networking, and machine learning hardware acceleration. He has been awarded over 50 patents in the fields of solid state electronics, solid state disk controller technology, security architecture and storage systems and has published over 50 peer-reviewed papers.

Zvonimir is Chairman of CHIPS Alliance, Chair of OpenCAPI org, and Board of Directors member of RISC-V standards organization.
",
01:30:00,2019-09-28 12:30,2019-09-28 14:00,,,Lunch,sat,,yes
0:20:00,2019-09-28 14:00,2019-09-28 14:20,Staf Verhaegen,Chips4Makers,The state of Chips4Makers; an ASIC service for makers and hobbyists,sat,"              <p>
                The Chips4Maker service was first brought forward on ORConf two years ago. At that
                time it was mostly a dream. In the mean time much progress has been made on the
                design flow front and a few test tape-outs have been performed. The progress will be
                reported during this presentation.
              </p>
              <p>
                If moon, earth and sun are forming the right constellation even some more concrete
                announcements may be made on the Chips4Makers service.
              </p>
          <h6>Presenter: Staf Verhaegen</h6>
              <p>
                Staf Verhaegen is an open source software enthusiast that is dreaming of open source
                driving hardware innovation as it did for software.
              </p>
",
0:20:00,2019-09-28 14:20,2019-09-28 14:40,Stafford Horne,OpenRISC,OpenRISC update,sat,"          <p>
            An update on all that is happening this year
            with <a href=""https://openrisc.io"">OpenRISC</a>.  I would like to go over the
            interesting things happening this year in
            OpenRISC. <a href=""https://www.librecores.org/static/librecores-ci"" target=""_blank"">
              LibreCores continuous integration</a>
            setup for IP cores.  Releasing the <a href=""https://github.com/openrisc/or1k_marocchino""
            target=""_blank"">Marocchino CPU</a>.  Incorporating proposals into and
            publishing <a href=""https://openrisc.io/2019/06/04/openrisc-arch1.3""
                          target=""_blnk"">OpenRISC spec 1.3</a>.
            Working on the glibc port and finding some interesting bugs.
            
          </p>
          <h6>Presenter: <a href=""https://twitter.com/stffrdhrn"" target=""_blank"">Stafford Horne</a></h6>
          <p>
            Stafford is an software engineer as SMBC Nikko Japan working on algorithmic trading
            systems.  He has been working on and maintaining OpenRISC for the better part of 5
            years.
          </p>
",
0:10:00,2019-09-28 14:40,2019-09-28 14:50,,,Break,sat,,
0:20:00,2019-09-28 14:50,2019-09-28 15:10,Karol Gugala,Antmicro,Versatile Place and Route (VPR) device models generation from Verilog with V2X,sat,"          <p>
            <a href=""https://docs.verilogtorouting.org/en/latest/arch/"" target=""_blank"">VPR</a>, an
            open source Place&amp;Route tool developed primarily by the University of Toronto,
            describes the FPGA devices architecture using model and pb_type XML files
            . The XML files can be really complex depending on the device architecture.
          </p>
          <p>
            V2X is an open source tool for generating FPGA architecture description XML files from
            Verilog models. The models can be reused as device simulation modes.
          </p>
          <p>
            Currently V2X supports the following features:
            <ul>
              <li>Black box models and architecture description definition</li>
              <li>Complex block aggregation other complex blocks and/or black boxes</li>
              <li>Routing components</li>
              <li>FASM (FPGA Assembly) annotations</li>
            </ul>
          </p>
          <h6>Presenter: <a href=""https://twitter.com/KGugala"" target=""_blank"">Karol Gugala</a></h6>
          <p>
            Karol Gugala is Engineering Manager at <a target=""_blank""
                                                      href=""http://www.antmicro.com/"">Antmicro</a>, where he is working with open source in
            various contexts - primarily FPGA and embedded software. Open source enthusiast -
            involved in a wide variety of FOSS projects.
          </p>
",
00:03:00,2019-09-28 15:10,2019-09-28 15:13,Tim 'mithro' Ansell,,Status of Xilinx Artix 7 support in Symbiflow,sat,"              <p>
                Come find out the current status of Xilinx Artix 7 support in the
                <a href=""https://symbiflow.github.io/"" target=""_blank"">SymbiFlow project</a>.
          </p>
          <h6>Presenter: <a href=""https://twitter.com/mithro"" target=""_blank"">Tim 'mithro' Ansell</a></h6>
          <p>
            Tim is the founder of <a href=""https://github.com/timvideos"" target=""_blank"">TimVideos</a> and is currently
            heavily involved with the development of the SymbiFlow project.
          </p>
",
0:03:00,2019-09-28 15:13,2019-09-28 15:16,Fahrican Koşar,,Improving VPR I/O,sat,"          <p>
            verilog-to-routing's P&amp;R tool VPR, which is used in
            <a href=""https://symbiflow.github.io/"" target=""_blank"">SymbiFlow</a>'s Artix 7 flow, can accept
            FPGA architecture and routing resources as file inputs. I have worked on the speed and
            correctness of this process as part of this year's GSoC.
          </p>
          <h6>Presenter: <a href=""duck2.lt"" target=""_blank"">Fahrican Koşar</a></h6>
          <p>
            Fahrican is GSoC'2019 student for SymbiFlow.
          </p>
",
0:03:00,2019-09-28 15:16,2019-09-28 15:19,Henner Zeller,,SystemVerilog compatibility Test-Suite,sat,"<p>
  For a language as large and complex as SystemVerilog, having a
  tool-independent test suite dedicated to grading against the
  language standard is essential for measuring quality of
  implementation.  Hallmarks of a quality test suite for a
  programming language are: 1) high coverage of syntax and
  semantic concepts in accordance with the standard, 2)
  independence from any particular implementation, 3) universal
  access and availability. Previously, no test suite has existed
  which fits all three criteria. The existence of an open-source
  test suite will benefit the tool development community by
  establishing an objectively measurable common goal.  Publishing
  test results has several benefits: 1) raising community
  awareness about alternative implementations, 2) identifying
  gaps and differences, 3) fueling collaboration among language
  experts and tool developers.  We present our initial effort to
  amass and organize a SystemVerilog test suite whose purpose is
  to qualify tools against the language standard.
</p>
<h6>Presenter: Henner Zeller</h6>",
0:03:00,2019-09-28 15:19,2019-09-28 15:22,Jamie Hanlon,,netlist-paths: A command line tool for querying paths in a Verilog design (Lightning Talk),sat,"              <p>
                In a complex Verilog design, it can be difficult to relate timing reports for
                critical paths back to the the source code because of the way a design is flattened
                and optimised in a physical design flow. Being able to quickly correspond a timing
                path to the source code is useful in determining causes and potential fixes. This
                talk describes <a href=""https://github.com/jameshanlon/netlist-paths""
                target=""_blank"">a simple command-line tool</a> to do this. It uses a modified
                version of
                Verilator to obtain a netlist from Verilog source code and provides options to query
                paths and cones of logic by specifying start, end and through points in the design,
                similar to what you find with EDA tooling.
              </p>
          <h6>Presenter: <a href=""www.jameswhanlon.com"" target=""_blank"">Jamie Hanlon</a></h6>
              <p>
                Jamie Hanlon works as an Engineer at Graphcore in Bristol (UK), a company building
                silicon processors for machine intelligence. He is part of the Silicon team, working
                on the logical and physical design of the a processor, replicated thousands of time
                over the chip. Previously he has worked on compiler and toolchain software,
                specifically LLVM, and completed a PhD at the University of Bristol in computer
                architecture.
              </p>
",
