day,from,to,title,speaker,affiliation,type,abstract,bio,youtube,slides
fri,14:20,14:40,OpenRISC update 2023,Stafford Horne,OpenRISC ,talk,"An update about what is new and and upcoming with the OpenRISC architecture, one of the first open source CPU architectures.","Stafford Horne is a computer engineer, working in finance at a Japanese mega bank SMBC.  He works on open source hardware and software as a hobby.",https://youtu.be/xyc-dyQCZP8,slides/orconf23_horne.pdf
fri,14:40,15:00,Visualizing and exploring open-source microchips,Thorsten Knoll,RheinMain University of Applied Sciences,talk,"This talk is about the landscape of visualizing and exploring the inside of microchips with open-source projects. 
Three manufacturable Process-Design-Kits (PDK) got published under open-source licenses so far and the count is increasing. These PDKs drive attention and workforce into open-source Electronic-Design-Automation (EDA) projects. Besides the well-known and recognized open-source EDA design flow tools (OpenRAOD and -LANE, Klayout, Magic, a.s.o) some smaller and niche projects enable new, creative and even innovative methods and provide tools for education. An overview and list of available and active tools and projects for visualizations will be given. You are free to use all of them without signing non-disclosure agreements (NDA) or buying high-priced licenses for your teaching, education, research and what else you want to make of it. 
Did you ever hold a 3D-printed AND-Cell in your hands? Do you want to fly through your rendered GDSII file? Some real-world examples to open up further discussions will be presented.","Thorsten is a computer scientist and cares about open-source hardware. Currently, he works as a researcher at RheinMain University of Applied Sciences and tries to produce as many open-source microchips as possible. He is on the author list of the open-source IHP130 PDK and has a soft spot for creating physical stuff.",https://youtu.be/_p5LZH-qsQo,slides/orconf23_knoll.pdf
fri,15:00,15:20,Effective Timekeeping in RISC-V Processors: Overview of mtime Design Approaches,Viktor J. Schneider,"Infineon Technologies AG, Leibniz Universität Hannover",talk,"Timers are an integral part of most processors, serving essential tasks such as preemptive context switching or reading sensor values at specific time intervals.
The RISC-V specification defines the mtime counter as part of their High-Performance-Counter facility to provide RISC-V processors with a stable wall-clock time. This counter is unique, however, as it is the only counter that is accessed through memory-mapped registers instead of control and status registers (CSRs). This has implications for the design of the mtime counter, making it challenging to find a design that best fits the project's requirements.
Within this presentation, the mtime counter is explained and multiple design strategies of the mtime counter are shown and compared to each other.
Furthermore, a modified mtime counter is proposed that exclusively relies on a CSR-based implementation.
Such CSR-based implementations exhibit greater consistency within the High-Performance-Counter facility and are generally more lightweight in terms of area and access time than their memory-mapped counterparts. This makes them particularly well-suited for deeply-embedded cores where known operation conditions can be utilized to achieve smaller core area.","Viktor Schneider is a master's student in Computer Engineering at Leibniz Universität Hannover. His study focuses on ASIC and processor design. In the last months, he pursued an internship at Infineon in Munich, where he worked on implementing a highly configurable RISC-V core generator that targets applications requiring hardened designs.",https://youtu.be/N3DHN9qMkyg,slides/orconf23_schneider.pdf
fri,15:20,16:00,Coffee Break,,,break,,,,
fri,16:00,16:20,CHIPS Alliance Open Source Digital Design Tooling Updates,Karol Gugala,Antmicro / CHIPS Alliance,talk,"Linux Foundation’s CHIPS Alliance project propagates the development and use of open source tooling for ASIC and FPGA design to bring a more software-oriented mindset into the hardware world. The Tools Working Group within CHIPS is concerned specifically with digital design tools which cover simulation, synthesis and place and route, IP aggregation, linting, formatting and more.

In this talk, the Chair of the Tools WG will discuss recent developments in the group’s projects such as RISC-V DV, Verible, Surelog/UHDM, SystemVerilog synthesis, custom GitHub runners for mass CI, improvements in Verilator and more.","Karol Gugala is Engineering Manager at Antmicro, where he leads the software team and works with open source in various contexts - digital design, AI and low level software. An open source enthusiast involved in a wide variety of FOSS projects and Chairman of CHIPS Alliance Tools Workgroup.",https://youtu.be/lcj7yV0fGuQ,
fri,16:20,16:40,RISC-V Instruction Set Extensions for Cryptography - From Research to Standardization,Felix Oberhansl,Fraunhofer AISEC,talk,"The introduction of RISC-V democratized the discussion about the features of an instruction set architecture. Cryptographers made extensive use of this possibility and made various proposals for the secure and efficient integration of different cryptographic schemes. In 2021, a first volume of RISC-V cryptography extensions was ratified. This talk summarizes various proposals for extensions that were made by researchers, if and how they made their way into RISC-V, and what the future of cryptographic extensions might look like.",Felix Oberhansl is a research associate for secure hardware design at Fraunhofer AISEC. His research interest include efficient and secure design of lightweight and post-quantum cryptography.,https://youtu.be/pJkwXNHOw0Q,
fri,16:40,17:20,Caliptra: Building Open Source Security IP with Open Source Tools,Michael Gielda,Antmicro,keynote,"Building a modern, complex, RISC-V based digital design like the Caliptra Root of Trust requires collaborative effort between multiple development teams of various backgrounds, especially in standards-based multi-organization environments like CHIPS Alliance. While in software development massive, standards-driven collaboration is a reality through open source infrastructure and tools, this success needs to be replicated in the hardware space with open source tooling to easily share and automate workflows, scale continuous integration and enable security through transparency of the development process. In this talk we will describe how digital design tools and workflows developed and used by CHIPS Alliance - including Verible, OpenROAD, cocotb, Verilator are being used in practice in a collaborative environment as a potential template for other work in this space.",,https://youtu.be/DFCWthwXzbk,slides/orconf23_gielda.pdf
sat,09:00,10:00,Welcome and Mingling,,,break,,,,
sat,10:00,10:40,lowRISC overview and update ,Greg Chadwick,lowRISC,talk,"lowRISC is a not-for-profit organization headquartered in the UK whose mission is to make open source silicon a widely used commercial reality. We steward OpenTitan, an open silicon root of trust. Our engineers work in collaboration with OpenTitan partners to produce open RTL, DV, documentation and software developed live on our [open repository](www.github.com/lowrisc/opentitan). We recently achieved a tape-out of our first engineering sample with chips expected in November in preparation for volume production.

This talk gives an overview of lowRISC and the OpenTitan project, an update on our latest achievements and a look into our future plans. It includes details on some of our most interesting and significant IP (such as Ibex our RISC-V core) with pointers on how you can use it in your own designs.","Greg is the digital design lead at lowRISC, where he has been working for the past 4 years. Previously he was at Arm, working on memory systems for A-class cores and at Broadcom working on GPUs. At lowRISC he's worked on many aspects of OpenTitan and Ibex, our RISC-V core.",https://youtu.be/tTcW1-5GOvk,
sat,10:40,11:10,GoIT: European initiative for free and open silicon,Rihards Novickis,EDI,talk,"Europe's IT hardware development is constantly challenged by outrageously expensive design tools, legal constraints like NDAs or patents, lock-in threats, dependency on external vendors and supply chains, and foreign political events. The hardware development is expensive and inefficient and undermines the very principles of sovereignty, resilience and reusability. Free and open-source silicon chips carry the potential to catapult Europe into a renaissance of digital technology. The “Go IT!” project focuses on maximizing the openness of software and hardware, creating suitable open-source hardware licences, finally enabling RTL and non-RTL component reusability, fostering the availability and compatibility of PDKs and design tools, providing the root of trust primitives, identifying essential standards for open-source silicon, providing feedback to the European policymakers and facilitating general awareness of the challenges, threats and opportunities for free and open-source silicon.","Rihards Novickis is a senior researcher at the Institute of Electronics and Computer Science, also internationally known as EDI. He leads the System-on-Chip research group and is involved in a wide range of technical activities ranging from RTL accelerator design for various image processing challenges and embedded Linux kernel development to scalable system architectures and technical team management. The main objective of his research is to create novel computing concepts and approaches, thus ensuring a sustainable advancement of our society.",https://youtu.be/KKQch_4Elhk,slides/orconf23_novickis.pdf
sat,11:10,11:40,Coffee Break,,,break,,,,
sat,11:40,12:00,Blackwire: WireGuard in HDL at 100+ Gbit/s ,Leon Woestenberg,BrightAI B.V.,talk,"Blackwire is our HDL/RTL WireGuard protocol targeting FPGA NIC boards and stacks, accelerating the state-of-art VPN protocol inline and at 100 Gbits/s wire speeds. We started from scratch, and now with the most critical parts finished, 75% done, released the project open-source. The presentation will show architecture and a pipeline example.","Leon Woestenberg is Sr. Principal Systems Architect at BrightAI with a focus on hardware and software design for heterogenous systems (CPU/SoC/FPGA). Previously worked on enabling FPGA for the cloud (used in Amazon AWS F1, etc.), now working on bringing the state-of-art and piece-of-art WireGuard VPN protocol into the FPGA and ASIC world as lead architect and engineer. ",https://youtu.be/vhQvTLrme_k,slides/orconf23_woestenberg.pdf
sat,12:00,12:20,Data transport in a radio telescope: Remote Direct Memory Access over Ethernet from FPGA to GPU,Steven van der Vlugt,ASTRON,talk,"In the past century, many discoveries have been made in the universe through radio astronomy. Several discoveries of recent years include Pulsars, Fast Radio Bursts and the magnetic interaction between stars and their planets. Contrary to an optical telescope, a radio telescope observes a range of radio signals outside the optical spectrum. Today's radio telescope systems consist of several to many antennas which are computationally combined into one large radio telescope.

To enable more groundbreaking research, even better systems are needed to reveal more details of the universe. At the same time, there is a pressing need to improve the material cost and energy efficiency of systems. One of the biggest challenges we face today is efficient data movement from antenna receivers to the GPUs in the central processor that performs most of the computational work. 

This talk will first give an introduction in to radio telescope systems and will then discuss how an implementation with Remote Direct Memory Access (RDMA) over Converged Ethernet (RoCE) from FPGA to GPU can both improve the energy efficiency of radio telescope systems as well as enabling new science. The RoCE implementation on FPGA is under development and will be made available as open firmware.","Steven works as Researcher High Performance Computer Systems at ASTRON. He (pre)develops SW, FW and systems with GPU, FPGA and CPU for applications in radio astronomy.",https://youtu.be/YfI2K5WK66E,slides/orconf23_vandervlugt.pdf
sat,12:20,12:40,ASTRON's open source IP contributions,Reinier van der Walle, ASTRON Netherlands Institute for Radio Astronomy,talk,Introduction to open source tooling and IP for FPGA design developed or used at ASTRON. The goal of this talk is to communicate a high level overview of our design flow and open source tooling. As well as the open source IP we have provided in the past and touch on recent open-source projects we work on.,"Reinier van der Walle works as a digital design engineer (FPGA firmware engineer) who coordinates the Real-time-systems-development (RTSD) team at ASTRON. The RTSD team is responsible for design and implementation of the real-time digital back-end of ASTRON's radio telescope systems. Some projects Reinier is involved in are the LOFAR2 upgrade and DISTURB to develop the digital data-path at station level (filtering, correlation, beamforming, etc.). More recently, Reinier started on the RADIOBLOCKS project to design and develop an open-source RDMA over converged ethernet (RoCEv2) IP core.",https://youtu.be/Kn84Y-ki6QI,
sat,12:40,13:40,Lunch,,,break,,,,
sat,13:40,14:00,"A reusable verification, emulation and validation flow for ASIC design",Tomasz Hemperek,Dectris AG,talk,"In the conventional ASIC design life cycle, distinct teams are assigned to ASIC design/verification, firmware design/verification, and software development, leading to separate timelines and potential communication gaps. Consequently, issues detected during firmware or software phases can be challenging and expensive to correct.

The presented reusable approach allows all teams to work concurrently, ensuring improved coordination and faster development cycles. Moreover, it facilitates the majority of the work to be completed even before the final silicon is ready, resulting in a more robust and efficient ASIC design process.

We present a practical implementation of an reusable design flow that uses open-source tools.","Tomasz is an ASIC designer, physicist and a cocotb maintainer.",https://youtu.be/Oylzac5gdBk,slides/orconf23_hemperek.pdf
sat,14:00,14:20,Open source design testing and verification with UVM and Verilator,Krzysztof Bieganski,Antmicro,talk,"The presentation will discuss the current status of non-synthesizable SystemVerilog support in the Verilator open source simulator. The talk will shed light on the latest developments on the way towards full Universal Verification Methodology (UVM) support and discuss future plans, including constrained optimization support and process control enhancements. The talk will also cover improvements in the areas of memory footprint reduction and testing speed acceleration for complex digital designs.","Krzysztof is a senior software engineer at Antmicro. In his everyday work, he focuses mostly on open source SystemVerilog tooling. He is one of the main contributors to Verilator, responsible for, besides other things, implementation of the stratified scheduler functionality in Verilator.",https://youtu.be/2zOmpArtdH4,
sat,14:20,14:40,How cocotb made Python-powered verification mainstream -- and what comes next,Philipp Wagner,cocotb,talk,"cocotb is now a synonym for Python-powered hardware verification. In this talk, we'll celebrate what cocotb has achieved by looking back, but more importantly, by looking forward.","Philipp Wagner is a verification engineer at IBM during daytime, and Director at the FOSSi Foundation and cocotb maintainer at night. He's been involved in open source software and hardware since he can type and still can't get enough of it. Philipp was awarded a PhD (Dr.-Ing.) in Electrical Engineering from Technical University Munich for work on software observability in embedded systems.",https://youtu.be/Jp-x2cWK8oQ,slides/orconf23_wagner.pdf
sat,14:40,15:00,SystemVerilog Testbench linting with open-source,"Srinivasan Venkataramanan, Satinder Singh Paul",AsFigo Technologies,talk,"Abstract— Linting or rule-checking is a proven technique in RTL design and software domain to maintain high quality of code across distributed teams. SystemVerilog, the leading design verification language for chip designs will immensely benefit from such technology/process. However, lack of focus in EDA, wide variety of coding styles, and commercial factors have slowed down development of such tools in the past. We present our experience in building and deploying such lint tools based on a popular open-source platform slang/pyslang. As rules are developed in Python, it is very easy to customize it at finer granularity with reasonable cost. We also share how such rule checking can be integrated into a Continuous Integration/development (CI/CD) flow such as Git Actions.","Srinivasan Venkataramanan (Srini) is an influencer and a technology entrepreneur with extensive knowledge of Semiconductor chip design flow, languages, tools, and methodologies. As part of his latest venture, AsFigo Technologies, he is mainly focused on applying the latest technologies to address current bottlenecks in the chip design and verification process, with specific focus on open-source based deployments.  Srini is also a keen contributor to the open-source ecosystem and contribute to flows, tools, and libraries.",https://youtu.be/4Oi36ahly0k,
sat,15:00,15:40,Coffee Break,,,break,,,,
sat,15:40,16:00,MathLib - Math functions Library for SystemVerilog,"Deepa Palaniappan, Srinivasan Venkataramanan",AsFigo Technologies,talk,"The importance of mathematical models in modern electronic-based systems across various domains such as automotive, telecommunication, gadgets, and medical cannot be overstated. These models play a central role in system design and are often created using tools like MATLAB© and Octave, which offer a wide range of built-in functions. However, hardware design, particularly the verification process, requires specialized skills and tools like SystemVerilog.

To address this, we have developed a package called MathLib, which extends standard SystemVerilog to include mathematical function modeling. In this paper, we present a selection of MATLAB functions and their equivalents implemented in MathLib. This approach offers several key advantages:

1. Native SystemVerilog implementation: By integrating mathematical functions directly into SystemVerilog, we eliminate the need for external tools or dependencies, streamlining the design process.

2. Cost savings: Since MathLib enables native implementation in SystemVerilog, it eliminates the need for additional licenses or software, resulting in cost savings for the users.

Furthermore, we provide a real-world example of how MathLib was utilized in one of our recent customer projects. We demonstrate how we employed MathLib to model complex equations within native SystemVerilog, showcasing its practical application. Additionally, we share insights from deploying this library in a few analog and mixed-signal (AMS) designs, specifically in the development of designs such as low-dropout regulators (LDOs) and low-pass filters (LPFs).

Through this paper, we aim to highlight the benefits of using MathLib in SystemVerilog-based design projects, showcasing its capabilities and demonstrating its successful integration into various AMS designs.
","Deepa Palaniappan (deepapln@yahoo.com) is a seasoned engineer working on multiple disciplines in IC design and verification.  Her interests include open-source simulators such as Verilator, Icarus and libraries/frameworks such as GO2UVM, SVUnit etc. She contributes to few open-source projects such as SVA IP on Verilator, MathLib development etc.  She is consulting on FPGA design and verification to remote clients based in Europe.
",https://youtu.be/xjpidppkhcY,
sat,16:00,16:20,spinal.lib.bus.tilelink : An Tilelink interconnect generator based on fiber,Charles Papon,SpinalHDL,talk,"This talk will present a Tilelink interconnect generator recently developped in SpinalHDL. Unlike rocket-diplomacy, it leverage the fiber paradigm (~coroutines) to negociate/propagate parameters and elaborate the hardware, while being fully decentralized. The goal of this aproache being to provide a more aprochable and flexibility tool.",Charles Papon as an open-source developper based in Basel,https://youtu.be/hVi9xOGuuek,slides/orconf23_papon.pdf
sat,16:20,17:00,Ten Years of PULP: The Evolution of the Species from IoT to HPC,Davide Rossi,University Bologna,keynote,"With the increasing number of applications across various sectors such as IoT, consumer electronics, industrial automation, automotive, and high-performance computing silicon IPs leverage silicon IPs as fundamental building block for creating complex electronic systems. While the cost of accessing silicon has been decreasing due to the twilight of Moore's law, obtaining proprietary hardware IPs remains a significant obstacle for innovative start-ups and can also lead to   apply chain challenges for larger companies. However, a recent surge in high-quality open-source hardware IPs offers a promising solution to overcome this barrier. These advancements pave the way for exciting applications in open-source electronics, potentially alleviating supply chain issues for global electronics system design companies. In this presentation, I will delve into the evolutionary journey of the open-source Parallel-Ultra-Low-Power (PULP) platform over the past decade exploring opportunities and challenges for next-generation open-source computing systems in a wide range of domains, from IoT to HPC.",,https://youtu.be/YAG_dgiOyuA,
,,,A Graphical Guide to Lightweight Block-Level Formal Verification,Meinhard Kissich,Graz University of Technology,talk,"Shorter design cycles and the need for customized digital designs due to tight constraints on performance, power consumption, area, and security raise the risk of overlooked bugs. Traditional verification techniques based on simulation can only test a limited set of sequences and might fail to stimulate an error. Formal verification, on the other hand, explores the state space and proves a property exhaustively on the given design under the given assumptions. It can find rare corner-case issues within seconds and spot ambiguities in the specification. Arguing over whole classes of stimuli concurrently, however, requires different thinking and comes with a learning curve when used to simulation. We present a flow-chart-based methodology for lightweight block-level formal verification aimed at designers. We focus on open-source tools in the given examples to motivate utilizing formal verification in the following projects.","Meinhard Kissich is a Ph.D. student at Graz University of Technology (TU Graz) in Austria, studying and researching FPGA backend flows, exploitation of physical effects in FPGAs, and applied formal verification. Prior to joining the Embedded Automotive Systems (EAS) Group, he worked at various electronics and semiconductor companies while pursuing his studies. In 2022 he achieved a Master's degree with distinction in Information and Computer Engineering from Graz University of Technology, after obtaining a Bachelor's degree in the same field. Meinhard Kissich's educational journey is not just about the acquisition of knowledge but also about sharing it. During his studies, he was involved as an assistant in Control Systems and held lecture units. He now leads the Real-Time Operating Systems Laboratory course and supports the related lecture held by his Ph.D. supervisor Prof. Marcel Baunach. Apart, Meinhard Kissich thrives on engaging in unique ideas outside convention and evaluating the found solutions.",https://cloud.tugraz.at/index.php/s/WHEijTFR6XKgAWE,http://www.meinhard-kissich.at/pub/orconf23_slides.pdf
,,,Bluespec is my favourite HDL and here's why,Serge 'q3k' Bazanski,n/a,lightning,"q3k will recount his story of learning and then using Bluespec HDL in his OpenMPW toy project. He will quickly introduce the language, explain why he's excited for it, and provide a retrospective on his experiences using it.","q3k is a generalist of many trades, sometimes dabbling in digital logic and open silicon.

He enjoys bringing in software engineering methodology to other domains, from hardware development to datacenter operations.",https://youtu.be/-EPJqbJ5xYM,
,,,Python Filter Design and Analysis (pyfda) - an easy to use tool for floating point and fixpoint filters,Christian Muenker,Munich University for Applied Sciences,lightning,"Presentation with a live demo of the open source software pyfda with a user-friendly GUI. After a general introduction, some of the features will be highlighted that are useful for FPGA or microcontroller design. ","Christian Muenker teaches analog electronics and digital signal processing at the Munich University for Applied Sciences, after having designed mixed-signal and RF SOCs professionally for 14 years. While he initially developed pyfda as a tool for teaching digital signal processing, he has added more export options to increase the usefulness for hard- and software design.",https://youtu.be/IDKKr-ry9tc,slides/orconf23_muenker.pdf
,,,Tiny Tapeout update,Matt Venn,"tinytapeout, zero to asic course",lightning,TinyTapeout 4 closed last week - what happened and next steps,,https://youtu.be/sdsw5fMZsF8,
,,,SystemRDL: CSR description language everyone wished for,Marek Pikuła,,lightning,,,https://youtu.be/jrZlqJOdzv4,
,,,Coriolis 2.5 update!,Rob Taylor,,lightning,,,https://youtu.be/nwQNqPYDKF0,slides/orconf23_taylor.pdf
,,,FuseSoC in Three Minutes,Olof Kindgren,,lightning,,,https://youtu.be/bCzz9J-vKWE,
,,,Renode - open source systems simulation framework,Michael Gielda,,lightning,,,https://youtu.be/M8alVCnvdxo,
,,,WaveDrom,Aliaksei Chapyzhenka,,lightning,,,https://youtu.be/k7z6Ky3GuLM,
,,,SERV - A quick talk about a small CPU,Olof Kindgren,,lightning,,,https://youtu.be/-EPJqbJ5xYM,
,,,Hardware: A messy landscape we all love,Michael Gielda,,lightning,,,https://youtu.be/HZlX0FYVU88,
,,,GateMate Module Crowdsourcing,Anton Kuzmin,,lightning,,,https://youtu.be/YjL67rBzkvo,
